true,pred,confidence,text,reason
other,billing_problem,0.263,I opened a Chase Business XXXX  credit card on XX/XX/21 and I have been having constant issues with making purchases. Each time I try to us…,low confidence
delivery_issue,refund_request,0.23,"So I have a problem trying to get my all access account. But I never received my all access card, so I can't add it to my account. Then it …",weak delivery cues
other,billing_problem,0.481,"During the time that I was paying this credit card, I was working two jobs in college and while all other payments were on time, I somehow …",vague app wording
refund_request,billing_problem,0.441,On XX/XX/2018 my wife and I checked into an XXXX XXXX for what was supposed to be a 7 day stay. Upon checking in that evening after flying …,refund vs billing overlap
delivery_issue,refund_request,0.242,I requested a transfer from XXXX to Coinbase of {$2000.00} USD. The funds were posted out of my account at XXXX but NEVER received in my ac…,weak delivery cues
app_bug,billing_problem,0.29,I registered a new XXXX XXXX XXXX XXXX which had replaced a previous XXXX XXXX XXXX XXXX  which had been suspected of being used fraudulent…,low confidence
refund_request,billing_problem,0.446,"On XXXX XXXX, 2015 I went in the store and obtained estimate on replacement windows, storm and entry doors. I paid {$35.00} for someone to …",vague app wording
other,refund_request,0.318,Chime closed my account out of no where so when I contacted them they told me send proof it was me so I did several times then was told che…,low confidence
app_bug,billing_problem,0.879,I made a purchase at XXXX XXXX XXXX XXXXXXXX on XX/XX/XXXX and opened the company-suggested credit card ( Fortiva ) which promised zero int…,vague app wording
app_bug,billing_problem,0.254,I have been a Chase Client for over a decade. The reason why I am reaching out today is because of the situation In regards to two of my cu…,low confidence
billing_problem,refund_request,0.297,On the XXXX XXXX I sent an international wire from my bank ( XXXX XXXX ) in XXXX to Chase Bank here in the XXXX. The money never arrived. X…,vague app wording
app_bug,refund_request,0.274,An artist was going to pay for using one of my pictures online. Saying they would paid me for it. They sent me 2 online checks both being X…,low confidence
other,billing_problem,0.254,While employed by XXXX I used a company credit card for company business. I am no longer employed by them and have not been since XXXX of 2…,low confidence
refund_request,billing_problem,0.25,"Navy Federal has used extortionate means to withdraw my money from my checking account without my permission, authorization or any lawful c…",refund vs billing overlap
refund_request,billing_problem,0.309,On XX/XX/2018 I was charged XXXX over a total of 11 transactions for purchases I did make. I immediately made Paypal aware that the transac…,refund vs billing overlap
app_bug,refund_request,0.257,I originally opened the account and deposited money into my savings account and I had it pull {$100.00} every week if it was available. Bef…,vague app wording
other,billing_problem,0.313,"I been a Synchrony bank/J.C Penney credit card customer for at least five years now. However, recently for reason unknown to me Synchrony b…",low confidence
delivery_issue,refund_request,0.334,"I try to buy a concert ticket from a person her name XXXX XXXX, Her e-mail address : XXXX, I sent her $ XXXX on XXXX XXXX 2023. She told me…",weak delivery cues
other,refund_request,0.324,"I worked up a payment plan with a local photographer. For {$2500.00}, she was supposed to shoot my wedding in XXXX. She promised to accept …",low confidence
refund_request,billing_problem,0.428,"Was charged {$35.00} per an overdraft in my checking account. While, Wells Fargo has refund the Overdraft fees before because they are outr…",refund vs billing overlap
billing_problem,refund_request,0.292,"CHASE BANK. My wife and I placed money down on XXXX in XXXX for XXXX vacation. When it was decided that we could not go, XXXX promptly refu…",low confidence
billing_problem,refund_request,0.232,I had a checking and savings account open with Wells Fargo somewhere between XXXX and XXXX and somehow I ended up owing almost {$300.00} to…,low confidence
billing_problem,delivery_issue,0.29,I received an Illinois Department of Employment Security ( IDES ) prepaid debit card by KeyBank on XX/XX/2020 and by XXXX XXXX  on XX/XX/XX…,low confidence
other,billing_problem,0.308,My wife had set up a monthly payment towards an account that was paid off. My wiffe had passed away Monthly credits continued to build up. …,low confidence
app_bug,refund_request,0.317,I.have a us bank checking and saving account on XX/XX/2002 A deposit was in the amount of XXXX thru the atm located at XXXX XXXX XXXX XXXX.…,refund vs billing overlap
billing_problem,app_bug,0.22,Company will only let me redeem my rewards points as a statement credit or direct deposit to the original checking account linked to the cr…,low confidence
delivery_issue,billing_problem,0.316,Over the course of the last several months I've experienced a growing and continuous problem in dealing with a Citi Card Credit card. It st…,vague app wording
other,billing_problem,0.463,I applied for care credit through synchrony Bank. My credit score then was lower than it is now. With all of the same reports on my credit.…,vague app wording
billing_problem,app_bug,0.284,"Received a letter from Bank of America dated XX/XX/XXXX on XX/XX/XXXX. Case Number XXXX. Letter stated, to further assist you to resolve th…",low confidence
other,refund_request,0.317,"On Sunday XXXX XXXX, 2015 @ XXXX I went to an ATM Machine at an XXXX XXXX bank in XXXX, Georgia XXXX to withdraw {$500.00}. The ATM did not…",low confidence
billing_problem,app_bug,0.302,"Dear Consumer Financial Protection Bureau, I write this letter to formally file a complaint and to draw your attention to a matter of utmos…",vague app wording
app_bug,billing_problem,0.35,Cash app they sucks soo much and they are absolutely no help very selfish. Just jerks. XX/XX/2023 at XXXXXXXX XXXX a store clerk from XXXX …,refund vs billing overlap
other,billing_problem,0.263,"In XX/XX/XXXX, I received a letter of First National Bank mentioning that I have a credit card of XXXX $ on my name BUT I never contracted …",low confidence
app_bug,billing_problem,0.308,On XX/XX/year> I accessed my credit card to set up payment and my account was restricted. I contacted Capital One on XX/XX/year> and I was …,weak delivery cues
other,billing_problem,0.249,"What happened : I have used Citi credit cards since XXXX. During the nearly 8 years, I've been very loyal, using them regularly and routine…",vague app wording
billing_problem,app_bug,0.231,PayPal accounts breached in a credidential stuffing attack on XX/XX/2023.   Receiving repeated fraudulent emails to my PayPal account email…,vague app wording
app_bug,billing_problem,0.286,Fraudulent charges on my account that Huntington has gave two different responses on. First it was the card chip and card cant be duplicate…,low confidence
other,refund_request,0.239,I have always used CapitalOne bill pay with no problems. On XX/XX/XXXX I used bill pay to make my car payment of {$700.00} to XXXX XXXX XXX…,weak delivery cues
delivery_issue,refund_request,0.342,On XXXX around XXXX I went to TD Bank in XXXX RI I went through the drive thru and tried to deposit {$400.00} the atm machine in drive thru…,vague app wording
app_bug,refund_request,0.285,I signed up with ( NetSpend ) and I called and deputed a transaction..I got banned from using NetSpend then they took 30 days then I got a …,low confidence
app_bug,refund_request,0.406,I have used their service to send money to people for goods and services and i sold something through their website and they told me I woul…,vague app wording
billing_problem,refund_request,0.282,There were several fraudulent transactions made on my card. I did not notice these transactions because this is not my primary card I never…,low confidence
app_bug,refund_request,0.31,"On XX/XX/XXXX at approximately XXXX I used U.S. Bank ATM XXXX XXXX XXXX XXXX TN, to try to withdrawal XXXX $ and it did not dispense my cas…",refund vs billing overlap
other,refund_request,0.251,The bank is Capital One. I received a large sum of money into my checking account at around XXXX. By XXXX I got a notice that my account wa…,low confidence
delivery_issue,app_bug,0.42,I am writing to formally request your assistance in resolving an issue involving XXXX XXXX ( operated by XXXXXXXX XXXX ) and Square XXXX. T…,vague app wording
other,billing_problem,0.449,"I received a call from Macy 's on XXXX XXXX, 2015 that my Macy 's Amex had fraudulent activity in another state that went through on both t…",low confidence
other,app_bug,0.273,PayPal Limited My Account and They Can not Tell Me Why PayPal I was limited due to suspicious activity which can mean anything or nothing. …,vague app wording
refund_request,billing_problem,0.38,"American express ( AMEX ) uses 'Amex Offer ' promotional feature to attract customers to use their cards in particular categories. However,…",low confidence
app_bug,refund_request,0.274,"For years, I have been facing persistent issues with Chase Bank, but now I have reached my breaking point. Recently, I made an online cloth…",refund vs billing overlap
billing_problem,refund_request,0.265,"On XX/XX/2019, I received a letter from Capital One, stating they deactivated my old card due to due fraud on behalf. I was to be reimburse…",low confidence
billing_problem,other,0.326,"On XX/XX/2023, it has come to my attention that XXXX XXXX has included an unfavorable remark on my credit report, as indicated by XXXX XXXX…",low confidence
delivery_issue,app_bug,0.648,"I am filing this complaint regarding a delayed payroll payment that was due to me on XX/XX/year>, in the amount of {$1300.00}. Due to an on…",mixed or ambiguous
billing_problem,refund_request,0.26,Citi Reference Number : XXXX Previous : Consumer Financial Protection Bureau Case # XXXX Citi responded to the case # XXXX complain stating…,weak delivery cues
billing_problem,refund_request,0.464,"XX/XX/XXXX, I realized my credit card autopay was not going through. I called Bank of America ( further referred to as BOA ), they did not …",refund vs billing overlap
other,refund_request,0.359,"On or about XX/XX/2019, I consented to the wire transfer of {$11000.00} of my retirement savings to what I believed was a XXXX XXXX account…",weak delivery cues
app_bug,refund_request,0.272,"My debit card was hacked on XXXX.2020. I received a text from the bank asking if a charge in XXXX, Fl for {$790.00} was me. I wasn't and It…",low confidence
app_bug,refund_request,0.306,"My phone was stolen on XXXXXXXX  while I was away out of town working. I live in California and some mountain areas are remote, which was t…",refund vs billing overlap
refund_request,billing_problem,0.436,I filed dispute charges made in my account towards Prosper Credit Card company. There are several charges that I did not authorized. While …,refund vs billing overlap
other,refund_request,0.31,I deposited a check {$5800.00} check into my Bank of America account on XX/XX/XXXX its XX/XX/XXXX and they cant tell me where my funds are …,low confidence
billing_problem,app_bug,0.393,"My XXXX account ( email : XXXX, account ID : XXXX XXXX XXXX XXXX ) was closed without any valid reason.   I contacted their support team un…",vague app wording
other,refund_request,0.25,My PNC bank account will not let me transfer money to my prepaid XXXX XXXX  debit card.,low confidence
other,billing_problem,0.359,I stayed at XXXX XXXX XXXX hotel XXXX XXXX they held an additional {$270.00} for my room PLUS THE ROOM CHARGE OF $ XXXXThe final cost of my…,vague app wording
app_bug,billing_problem,0.398,Requested the missed payments and accuracy of the account be adjusted due to the fact the account was charged off AND closed almost 7 years…,low confidence
billing_problem,refund_request,0.346,"On XX/XX/21, XXXX XXXX ( XXXX USD ) was wire transferred to Transferwise. Transferwise claimed they did not receive this transfer. I inquir…",low confidence
billing_problem,app_bug,0.398,"I was scammed and I contacted cash app and they didnt do nothing to solve the problem and said, that I was aware and had been in contact wi…",vague app wording
app_bug,refund_request,0.278,I own a company and have 1 new employee and 1 old employee that have the same name in our payroll system.   On XX/XX/2023 we accidently sub…,low confidence
other,refund_request,0.312,"I was the victim of a check overdraft scam. Although I didnt send the scammers any money, they were still able to reverse the checks, which…",low confidence
refund_request,billing_problem,0.476,On XX/XX/2020 we mailed XXXX XXXX a cancellation letter for the contract signed on XX/XX/2020. We were not able to certify the letter due t…,low confidence
other,billing_problem,0.351,I was told if I paid the overdraft balance owned on Account ending in # XXXX that the XXXX  reported information be removed. The balance wa…,low confidence
delivery_issue,refund_request,0.308,In XXXX 2022 i had an account with chime and they closed the account stating they did not receive a direct deposit i had {$1500.00} in the …,vague app wording
app_bug,refund_request,0.355,"On XX/XX/2023, someone stole my debit card information and tried to use it fraudulently. Luckily, the transaction was blocked and no money …",weak delivery cues
app_bug,refund_request,0.256,I received a call from wells fargo on XX/XX/2023 stating there was some fraudulent activity in my business checking account. After verifyin…,vague app wording
other,refund_request,0.269,"My aunt, XXXX XXXX, who has been diagnosed with the beginning stages of XXXX has an account with Wells Fargo that she has had for over 15 y…",low confidence
other,refund_request,0.259,In the attachment is a copy of a check written to my employee on XX/XX/2023 and cashed by him on the same day but as you can see it did not…,vague app wording
delivery_issue,refund_request,0.272,"On XX/XX/XXXX a check for {$3700.00} was sent to Home Depot via Citibank and was cashed with proof and as of today, XX/XX/XXXXXXXX  my acco…",weak delivery cues
other,refund_request,0.291,"The latter part of XX/XX/XXXX, we noticed a discrepancy in our BofA account balance. After digging into the account, we discovered several …",vague app wording
refund_request,billing_problem,0.312,I am an XXXX trustee of a trust maintained at Citizens Bank of Pennsylvania. I was REPEATEDLY ASSURED that the trust accounts would not be …,refund vs billing overlap
billing_problem,refund_request,0.289,"My family and I were on vacation in the XXXX XXXX and were told that we were purchasing "" part of a travel agency '' who's parent company w…",low confidence
refund_request,billing_problem,0.274,"I purchased XXXX ( XXXX ) XXXX XXXX Passes from XXXX Florida on XX/XX/year>, totaling {$1800.00}. Before completing the purchase, I asked t…",refund vs billing overlap
delivery_issue,billing_problem,0.234,Chime also known as XXXX receives a monthly deposit from the XXXX XXXX XXXX XXXX under XXXX XXXX XXXX. It is delivered to me on the XXXX XX…,low confidence
app_bug,billing_problem,0.334,I tried to make a payment on time after logging on to Capital One 's web site. An error appeared with instructions to 'try later '. I follo…,refund vs billing overlap
delivery_issue,refund_request,0.27,"In XXXX I deposited XXXXXXXX XXXX via check to my citizens personal account, the funds became available but my account locked.After 60 days…",weak delivery cues
app_bug,billing_problem,0.561,"XXXX : WHAT HAPPENEDI am complaining about a deceptive, negative-option add-on product called "" XXXX XXXX Solutions '' on PNC Merchant Serv…",vague app wording
billing_problem,app_bug,0.219,All transactions with my name ssn on it from XXXX ( XXXX ) XXXX refused to mail me out all of my statements.,low confidence
refund_request,billing_problem,0.327,I visited an XXXX XXXX XXXX on XX/XX/XXXX and order a XXXX  that was supposed to be delivered XXXX XXXX. It was not delievered. I reached o…,refund vs billing overlap
other,billing_problem,0.29,"CapitalOne account beginning with XXXX is a "" Charge off '' which means it's a certificate of indebtedness. Which makes it income as they c…",low confidence
billing_problem,app_bug,0.238,I have already reached out to Bank of America National Association I was told by XXXX a supervisor in funding they have completed the perfo…,low confidence
billing_problem,refund_request,0.362,"I purchased clothes online from XXXX for {$180.00} on XX/XX/XXXX, using my Venmo Credit Card ( issued by Synchrony Bank ). On XX/XX/XXXX, I…",refund vs billing overlap
other,refund_request,0.247,Wells Fargo failed to provide outstanding relief in the amount of {$400.00} which was fraudulently stolen from me without my permission or …,low confidence
app_bug,billing_problem,0.911,"I have been a customer of XXXX for over 7 years, maintaining a charge account for the entirety of my relationship in good standing, no late…",refund vs billing overlap
app_bug,refund_request,0.256,On or about last Friday XX/XX/XXXX   I was informed by a customer service representative that my checking account was compromised. And they…,low confidence
app_bug,billing_problem,0.443,This was a closed account at XXXX when PNC took it over. I had made a compromise agreement with XXXX to pay a balance on a closed account u…,low confidence
other,billing_problem,0.349,I was issued a Discover Card with a credit limit of {$8000.00}. I tried to make a purchase for my daughter 's XXXX birthday through XXXX XX…,low confidence
refund_request,billing_problem,0.949,"I forwarded a payment to pay off my Discover credit card. It was received by the due date. When I received my credit card bill, instead of …",refund vs billing overlap
billing_problem,app_bug,0.332,"I had an account, checking and savings with this company for a little over two years. I was continuously receiving statements and able to l…",low confidence
app_bug,refund_request,0.279,I sent a mobile payment of {$1000.00} via email to my Aunt using my Bank of America account and it was routed to a closed XXXX account. Aft…,vague app wording
app_bug,billing_problem,0.233,Bank of America needs to hold me harmless as their client. On XXXX/XXXX/2016 at approximately XXXX PST XXXX XXXX from BofA fraud dept. cont…,vague app wording
refund_request,billing_problem,0.263,"I canceled my American Platinum card over a year ago. Recently, I received a letter stating that I owed money on the card. I called America…",refund vs billing overlap
app_bug,refund_request,0.315,I notified capital one of several unauthorized XXXX  that were made on XX/XX/XXXX and XXXX. They told me to wait 10 days and a provisional …,low confidence
other,delivery_issue,0.204,I have been trying to reach Truist for months! I can not get a representative that can even see my accounts. There are 2. One was a secured…,low confidence
refund_request,billing_problem,0.309,"It's possible the representative I spoke with is out of the office, but they have been incommunicado for almost a week. I was promised a re…",refund vs billing overlap
billing_problem,app_bug,0.38,"On XX/XX/year>, it came to my knowledge upon viewing my CITIBANK checking account statement that came in the mail, that my account had been…",vague app wording
billing_problem,app_bug,0.307,"On XX/XX/XXXX, I received a call from an XXXX number ; they told me one of my business debit cards had been compromised, and it was their j…",vague app wording
refund_request,other,0.997,I am writing to formally express my concerns regarding Zelle 's handling of disputes. CFPB has filed a lawsuit highlighting significant iss…,mixed or ambiguous
app_bug,billing_problem,0.422,"THE WEEK BEFORE XXXX, prior to any notification at all, my credit limit was decreased by almost 60 %. I had my card not honored at multiple…",low confidence
app_bug,refund_request,0.309,"To whom it may concern, On XX/XX/2019 my wife wrote out check # XXXX to XXXX XXXX to the amount of {$850.00} to pay our mortgage. On the mo…",vague app wording
app_bug,refund_request,0.611,"I filed a complaint earlier about this, but it has gotten much worse, I went back looking through my checking, saving m, and credit builder…",refund vs billing overlap
other,refund_request,0.274,I have a savings account with citizen access bank. I operate a business and was expecting payments from my client for a total of {$9600.00}…,vague app wording
other,refund_request,0.217,"See CFPB complaints XXXX and XXXX.   I have yet to receive a solution from the USAA client "" advocacy '' team. They pretended to reach out …",low confidence
app_bug,other,0.266,On or Around XXXX Discover Bank ( Discover Financial Services ) Opened a Cashback debit card account in my name without my consent or permi…,vague app wording
app_bug,billing_problem,0.261,"The below complaint was submitted against Wells Fargo whom requested more time to respond before turning around, claiming litigation is inv…",refund vs billing overlap
