text,category
There is a charged twice on my savings account statement from this morning. Please correct the balance; no one is responding.,billing_problem
The mobile app does not open whenever I try to login. I get spinning wheel since over the weekend; no one is responding.,app_bug
The mobile app glitch whenever I try to sign in. I get spinning wheel since last week; please help.,app_bug
The mobile app bug whenever I try to sign in. I get timeout since last week; no one is responding.,app_bug
There is a incorrect fee on my website statement from last week. Please correct the balance; please help.,billing_problem
The mobile app won’t load whenever I try to login. I get spinning wheel since last week; this is urgent.,app_bug
The mobile app does not open whenever I try to log in. I get failed request since over the weekend; can someone fix this.,app_bug
There is a incorrect fee on my debit card statement from today. Please correct the balance; this is urgent.,billing_problem
I have a general question about account features I do not understand. I contacted support by phone a few days ago; please help.,other
I never received my bank transfer this morning. It is stuck in transit and tracking shows nothing; this is urgent.,delivery_issue
I have a general question about account features I do not understand. I contacted support by email yesterday; can someone fix this.,other
I missing delivery my mobile app today. It is late and tracking shows nothing; this is urgent.,delivery_issue
The mobile app glitch whenever I try to sign in. I get crash since last week; very frustrating.,app_bug
I have a general question about account features I do not understand. I contacted support by phone yesterday; still not resolved.,other
I have a general question about account features I do not understand. I contacted support by phone a few days ago; this is urgent.,other
I have a general question about account features I do not understand. I contacted support by email over the weekend; please help.,other
I was charged $300 by a subscription last week and I need a reverse the charge. I canceled the order; can someone fix this.,refund_request
I have a general question about account features I do not understand. I contacted support by support ticket today; this is urgent.,other
The mobile app crashes whenever I try to sign in. I get timeout since today; very frustrating.,app_bug
I was charged $100 by a grocer last week and I need a reimburse me. I canceled the order; this is urgent.,refund_request
There is a charged twice on my checking account statement from today. Please correct the balance; can someone fix this.,billing_problem
I card not received my bank transfer last week. It is stuck in transit and tracking shows nothing; no one is responding.,delivery_issue
I was charged $100 by a grocer this morning and I need a refund. I canceled the order; please help.,refund_request
There is a unexpected fee on my debit card statement from this morning. Please correct the balance; no one is responding.,billing_problem
"I was charged $1,200 by a subscription last week and I need a reverse the charge. I canceled the order; please help.",refund_request
I was charged $79.99 by a electronics shop last week and I need a reverse the charge. I canceled the order; no one is responding.,refund_request
I never received my prepaid card over the weekend. It is arriving late and tracking shows nothing; please help.,delivery_issue
I have a general question about account features I do not understand. I contacted support by email this morning; still not resolved.,other
I have a general question about account features I do not understand. I contacted support by chat this morning; this is urgent.,other
I was charged $40 by a online store this morning and I need a reverse the charge. I canceled the order; please help.,refund_request
I never received my savings account this morning. It is stuck in transit and tracking shows nothing; can someone fix this.,delivery_issue
The mobile app crashes whenever I try to sign in. I get freeze since this morning; can someone fix this.,app_bug
There is a unexpected fee on my bank transfer statement from today. Please correct the balance; please help.,billing_problem
I was charged $25 by a ride service last week and I need a reverse the charge. I canceled the order; please help.,refund_request
I not received my website last week. It is delayed and tracking shows nothing; this is urgent.,delivery_issue
The mobile app bug whenever I try to log in. I get crash since today; still not resolved.,app_bug
There is a unexpected fee on my bank transfer statement from over the weekend. Please correct the balance; please help.,billing_problem
I have a general question about account features I do not understand. I contacted support by email over the weekend; no one is responding.,other
I package not delivered my checking account yesterday. It is stuck in transit and tracking shows nothing; can someone fix this.,delivery_issue
I was charged $40 by a electronics shop today and I need a money back. I canceled the order; no one is responding.,refund_request
I not received my credit card this morning. It is late and tracking shows nothing; can someone fix this.,delivery_issue
I was charged $40 by a online store last week and I need a reverse the charge. I canceled the order; still not resolved.,refund_request
I have a general question about account features I do not understand. I contacted support by support ticket a few days ago; can someone fix this.,other
"I was charged $1,200 by a grocer yesterday and I need a reverse the charge. I canceled the order; please help.",refund_request
I was charged $300 by a subscription a few days ago and I need a chargeback. I canceled the order; no one is responding.,refund_request
I have a general question about account features I do not understand. I contacted support by phone yesterday; can someone fix this.,other
The mobile app crashes whenever I try to login. I get freeze since yesterday; can someone fix this.,app_bug
There is a late fee on my prepaid card statement from yesterday. Please correct the balance; please help.,billing_problem
There is a late fee on my savings account statement from yesterday. Please correct the balance; please help.,billing_problem
I have a general question about account features I do not understand. I contacted support by email yesterday; very frustrating.,other
I was charged $79.99 by a subscription this morning and I need a money back. I canceled the order; very frustrating.,refund_request
There is a unexpected fee on my credit card statement from today. Please correct the balance; still not resolved.,billing_problem
I not received my website yesterday. It is arriving late and tracking shows nothing; very frustrating.,delivery_issue
I never received my credit card a few days ago. It is no tracking updates and tracking shows nothing; still not resolved.,delivery_issue
The mobile app won’t load whenever I try to sign in. I get timeout since today; please help.,app_bug
I package not delivered my website over the weekend. It is delayed and tracking shows nothing; please help.,delivery_issue
"I was charged $1,200 by a electronics shop today and I need a refund my money. I canceled the order; this is urgent.",refund_request
I have a general question about account features I do not understand. I contacted support by support ticket yesterday; still not resolved.,other
I was charged $250 by a subscription today and I need a refund. I canceled the order; this is urgent.,refund_request
I missing delivery my credit card this morning. It is no tracking updates and tracking shows nothing; please help.,delivery_issue
There is a late fee on my debit card statement from this morning. Please correct the balance; no one is responding.,billing_problem
"I was charged $1,200 by a subscription over the weekend and I need a reverse the charge. I canceled the order; please help.",refund_request
The mobile app glitch whenever I try to login. I get timeout since this morning; very frustrating.,app_bug
The mobile app crashes whenever I try to sign in. I get spinning wheel since this morning; still not resolved.,app_bug
The mobile app crashes whenever I try to login. I get timeout since yesterday; can someone fix this.,app_bug
I have a general question about account features I do not understand. I contacted support by email this morning; can someone fix this.,other
I card not received my web portal a few days ago. It is status pending and tracking shows nothing; no one is responding.,delivery_issue
